22015-35-6: Eu@[1],I@[2]
13759-90-5: Eu@[1],I@[3]
12020-58-5: Eu@[1],N@[1]
55216-32-5: Eu@[1],Nb@[2],O@[6]
12020-65-4: Eu@[1],S@[1]
12020-66-5: Eu@[1],Se@[1]
12434-24-1: Eu@[1],Si@[2]
12020-69-8: Eu@[1],Te@[1]
13537-11-6: Eu@[1],V@[1],O@[4]
1308-96-9: Eu@[2],O@[3]
13537-15-0: Eu@[2],S@[3],O@[12]
7789-26-6: F@[1],N@[1],O@[3]
10049-03-3: F@[1],O@[4],Cl@[1]
7783-41-7: F@[2],O@[1]
7783-44-0: F@[2],O@[2]
12068-49-4: Fe@[1],Al@[2],O@[4]
12044-16-5: Fe@[1],As@[1]
7789-46-0: Fe@[1],Br@[2]
10031-26-2: Fe@[1],Br@[3]
563-71-3: Fe@[1],C@[1],O@[3]
3094-87-9: Fe@[1],C@[4],H@[6],O@[4]
7758-94-3: Fe@[1],Cl@[2]
16399-77-2: Fe@[1],Cl@[2],H@[4],O@[2]
13478-10-9: Fe@[1],Cl@[2],H@[8],O@[4]
7705-08-0: Fe@[1],Cl@[3]
10025-77-1: Fe@[1],Cl@[3],H@[12],O@[6]
1308-31-2: Fe@[1],Cr@[2],O@[4]
7789-28-8: Fe@[1],F@[2]
13940-89-1: Fe@[1],F@[2],H@[8],O@[4]
7783-50-8: Fe@[1],F@[3]
15469-38-2: Fe@[1],F@[3],H@[6],O@[3]
7783-84-8: Fe@[1],H@[6],P@[3],O@[6]
7783-86-0: Fe@[1],I@[2]
15600-49-4: Fe@[1],I@[3]
13718-70-2: Fe@[1],Mo@[1],O@[4]
14013-86-6: Fe@[1],N@[2],O@[6]
1345-25-1: Fe@[1],O@[1]
18624-44-7: Fe@[1],O@[2],H@[2]
1309-33-7: Fe@[1],O@[3],H@[3]
10045-86-0: Fe@[1],P@[1],O@[4]
1317-37-9: Fe@[1],S@[1]
7720-78-7: Fe@[1],S@[1],O@[4]
1310-32-3: Fe@[1],Se@[1]
12125-63-2: Fe@[1],Te@[1]
12168-52-4: Fe@[1],Ti@[1],O@[3]
